法宝ID,法宝名称,法宝成色,法宝成长系数min,法宝成长系数max,属性ID1,数值,属性ID2,数值,属性ID3,数值,属性ID4,数值,属性ID5,数值,XP技能ID,初始坐骑ID,图标,外观
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,玄冰烈火鼎,0,5,10,3,12,7,4,9,4,10,4,11,4,1043,2100001,Image\temp2.png,
2,无象魔铃,1,6,11,3,15,7,5,9,5,10,5,11,5,1043,2100001,Image\temp2.png,
3,散魂幛,2,7,12,3,18,7,6,9,6,10,6,11,6,1043,2100001,Image\temp1.png,
4,纯阳神火鉴,3,8,13,3,21,7,7,9,7,10,7,11,7,1043,2100001,Image\temp1.png,
5,四象宝塔,4,9,14,3,24,7,8,9,8,10,8,11,8,1043,2100001,Image\temp2.png,
6,捆仙锁,4,10,15,3,30,7,10,9,10,10,10,11,10,1043,2100001,Image\temp2.png,
7,玄冥冰晶,0,5,10,5,12,7,4,9,4,10,4,11,4,1044,2100001,Image\temp1.png,
8,斗魔真炎,1,6,11,5,15,7,5,9,5,10,5,11,5,1044,2100001,Image\temp1.png,
9,金刚目,2,7,12,5,18,7,6,9,6,10,6,11,6,1044,2100001,Image\temp2.png,
10,三昧真火,3,8,13,5,21,7,7,9,7,10,7,11,7,1044,2100001,Image\temp2.png,
11,千机伞,4,9,14,5,24,7,8,9,8,10,8,11,8,1044,2100001,Image\temp1.png,
12,潜龙令,4,10,15,5,30,7,10,9,10,10,10,11,10,1044,2100001,Image\temp1.png,
13,风火靴,0,5,10,1,80,4,4,6,4,7,4,8,4,1046,2100001,Image\temp2.png,
14,金碧环,1,6,11,1,100,4,5,6,5,7,5,8,5,1046,2100001,Image\temp2.png,
15,银凌仙衣,2,7,12,1,120,4,6,6,6,7,6,8,6,1046,2100001,Image\temp1.png,
16,天庭甲,3,8,13,1,140,4,7,6,7,7,7,8,7,1046,2100001,Image\temp1.png,
17,鬼面镜,4,9,14,1,160,4,8,6,8,7,8,8,8,1046,2100001,Image\temp2.png,
18,天罗地网,4,10,15,1,200,4,10,6,10,7,10,8,10,1046,2100001,Image\temp2.png,
19,乾坤护命纱,0,5,10,1,80,5,12,4,4,6,4,9,4,1045,2100001,Image\temp2.png,
20,九子魂魄,1,6,11,1,100,5,15,4,5,6,5,9,5,1045,2100001,Image\temp2.png,
21,九阴灵符,2,7,12,1,120,5,18,4,6,6,6,9,6,1045,2100001,Image\temp1.png,
22,观音净瓶,3,8,13,1,140,5,21,4,7,6,7,9,7,1045,2100001,Image\temp1.png,
23,仙灵瓶,4,9,14,1,160,5,24,4,8,6,8,9,8,1045,2100001,Image\temp2.png,
24,神仙酒,4,10,15,1,200,5,30,4,10,6,10,9,10,1045,2100001,Image\temp2.png,
